Season,Player,Date,Home/Away,Opp,Win/Loss,FG%,FT,FTA,FT%,TS%,eFG%,DRtg,,
2019-20,CJ McCollum,2/27/20,Away,IND,L,0.407,3,3,1,0.494,0.463,117,,
2019-20,CJ McCollum,2/29/20,Away,ATL,L,0.538,4,6,0.667,0.611,0.596,124,,
2019-20,CJ McCollum,3/2/20,Away,ORL,W,0.583,7,7,1,0.757,0.708,112,,
2019-20,CJ McCollum,3/4/20,Home,WAS,W,0.5,2,4,0.5,0.557,0.556,109,,
2019-20,CJ McCollum,3/6/20,Away,PHO,L,0.5,2,2,1,0.599,0.575,133,,
2019-20,CJ McCollum,3/7/20,Home,SAC,L,0.467,4,6,0.667,0.539,0.5,126,,
2019-20,CJ McCollum,3/10/20,Home,PHO,W,0.45,2,2,1,0.527,0.5,108,,
2019-20,CJ McCollum,7/31/20,Home,MEM,W,0.667,2,2,1,0.754,0.738,125,,
2019-20,CJ McCollum,8/2/20,Away,BOS,L,0.412,0,0,,0.5,0.5,128,,
2019-20,CJ McCollum,8/4/20,Home,HOU,W,0.444,2,4,0.5,0.506,0.5,107,,
2019-20,CJ McCollum,8/6/20,Away,DEN,W,0.267,2,2,1,0.409,0.367,125,,
2019-20,CJ McCollum,8/8/20,Home,LAC,L,0.524,1,2,0.5,0.663,0.667,127,,
2019-20,CJ McCollum,8/9/20,Home,PHI,W,0.412,0,0,,0.471,0.471,118,,
2019-20,CJ McCollum,8/11/20,Away,DAL,W,0.143,3,3,1,0.261,0.179,131,,
2019-20,CJ McCollum,8/13/20,Away,BRK,W,0.429,7,8,0.875,0.51,0.429,126,,
2019-20,CJ McCollum,8/18/20,Away,LAL,W,0.4,2,4,0.5,0.483,0.475,95,,
2019-20,CJ McCollum,8/20/20,Away,LAL,L,0.375,0,2,0,0.385,0.406,121,,
2019-20,CJ McCollum,8/22/20,Home,LAL,L,0.48,0,0,,0.56,0.56,110,,
2019-20,CJ McCollum,8/24/20,Home,LAL,L,0.385,6,8,0.75,0.545,0.462,132,,
2019-20,CJ McCollum,8/29/20,Away,LAL,L,0.52,7,8,0.875,0.631,0.58,125,,
2018-19,CJ McCollum,10/18/18,Home,LAL,W,0.353,6,6,1,0.535,0.441,114,,
2018-19,CJ McCollum,10/20/18,Home,SAS,W,0.6,2,3,0.667,0.735,0.733,122,,
2018-19,CJ McCollum,10/22/18,Home,WAS,L,0.2,2,2,1,0.251,0.22,110,,
2018-19,CJ McCollum,10/25/18,Away,ORL,W,0.583,6,6,1,0.751,0.667,122,,
2018-19,CJ McCollum,10/27/18,Away,MIA,L,0.35,2,5,0.4,0.428,0.425,123,,
2018-19,CJ McCollum,10/29/18,Away,IND,W,0.467,2,2,1,0.535,0.5,99,,
2018-19,CJ McCollum,10/30/18,Away,HOU,W,0.538,2,2,1,0.684,0.654,92,,
2018-19,CJ McCollum,11/1/18,Home,NOP,W,0.25,4,6,0.667,0.376,0.25,116,,
2018-19,CJ McCollum,11/3/18,Home,LAL,L,0.542,2,2,1,0.603,0.583,112,,
2018-19,CJ McCollum,11/4/18,Home,MIN,W,0.5,1,1,1,0.554,0.536,85,,
2018-19,CJ McCollum,11/6/18,Home,MIL,W,0.654,1,2,0.5,0.744,0.75,105,,
2018-19,CJ McCollum,11/8/18,Home,LAC,W,0.4,5,5,1,0.518,0.45,114,,
2018-19,CJ McCollum,11/11/18,Home,BOS,W,0.4,1,1,1,0.453,0.433,104,,
2018-19,CJ McCollum,11/14/18,Away,LAL,L,0.45,2,2,1,0.551,0.525,125,,
2018-19,CJ McCollum,11/16/18,Away,MIN,L,0.5,1,2,0.5,0.533,0.531,115,,
2018-19,CJ McCollum,11/18/18,Away,WAS,W,0.563,4,4,1,0.704,0.656,108,,
2018-19,CJ McCollum,11/20/18,Away,NYK,W,0.565,0,0,,0.674,0.674,123,,
2018-19,CJ McCollum,11/21/18,Away,MIL,L,0.467,6,6,1,0.624,0.533,131,,
2018-19,CJ McCollum,11/23/18,Away,GSW,L,0.421,0,2,0,0.478,0.5,129,,
2018-19,CJ McCollum,11/25/18,Home,LAC,L,0.381,0,0,,0.429,0.429,111,,
2018-19,CJ McCollum,11/28/18,Home,ORL,W,0.353,2,4,0.5,0.4,0.382,117,,
2018-19,CJ McCollum,11/30/18,Home,DEN,L,0.667,5,5,1,0.711,0.667,122,,
2018-19,CJ McCollum,12/2/18,Away,SAS,L,0.5,0,0,,0.545,0.545,136,,
2018-19,CJ McCollum,12/4/18,Away,DAL,L,0.368,2,2,1,0.453,0.421,114,,
2018-19,CJ McCollum,12/6/18,Home,PHO,W,,,,,,,,,
2018-19,CJ McCollum,12/8/18,Home,MIN,W,0.467,2,2,1,0.598,0.567,105,,
2018-19,CJ McCollum,12/11/18,Away,HOU,L,0.476,3,4,0.75,0.505,0.476,124,,
2018-19,CJ McCollum,12/12/18,Away,MEM,L,0.593,6,7,0.857,0.665,0.63,98,,
